rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,1,42,"982151"
2,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,2,95,"300150"
3,"spotify:track:3LWVXp636uLT356Rj08Jaz","Jimin","Be Mine","BIGHIT MUSIC",2,3,42,"254080"
4,"spotify:track:3Ua0m0YmEjrMi9XErKcNiR","Jimin","Like Crazy","BIGHIT MUSIC",1,6,111,"223287"
5,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","Columbia Records, a Division of Sony Music Entertainment, under exclusive license from OA ENTERTAINMENT, INC.",2,4,9,"202404"
6,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",4,7,23,"201414"
7,"spotify:track:24Y63uAvj6Oc9jGuTlhlgf","LE SSERAFIM","HOT","SOURCE MUSIC",2,5,8,"192864"
8,"spotify:track:1agDCV4zQqaFwJQNsTgmL1","Jimin, Loco","Smeraldo Garden Marching Band (feat. Loco)","BIGHIT MUSIC",2,8,45,"191005"
9,"spotify:track:6qafqn8bBMy7t5c5WqpyRk","Jimin","Closer Than This","BIGHIT MUSIC",2,11,72,"179271"
10,"spotify:track:50zAEIE4B1QqhPjRMK2Xmh","Jin","Running Wild","BIGHIT MUSIC",3,12,25,"177188"
11,"spotify:track:7kjVCymE7vn0HizmGCGFWQ","Lim Young Woong","Heavenly Ever After","Mulgogi Music / ADA",9,9,4,"175450"
12,"spotify:track:7gMfVc4zfNIxuMyMGglOHa","Jimin","Rebirth (Intro)","BIGHIT MUSIC",7,14,42,"174196"
13,"spotify:track:3d2bsbugow8JiNvuaRupFH","Jimin, Sofia Carson","Slow Dance (feat. Sofia Carson)","BIGHIT MUSIC",6,16,42,"170826"
14,"spotify:track:7Cnpb1vBbC46RgVyyKLH7p","aespa","Whiplash","SM Entertainment",3,18,29,"168746"
15,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",3,10,24,"163301"
16,"spotify:track:4xeugB5MqWh0jwvXZPxahq","WOODZ","Drowning","EDAM Entertainment",12,19,31,"161238"
17,"spotify:track:68UrZQUuO3O6eUiD226xHg","Hearts2Hearts","The Chase","SM Entertainment",8,17,11,"160510"
18,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",6,15,38,"158954"
19,"spotify:track:0wrppxeWurW1uRnxI6Ut9v","MEOVV","HANDS UP","THEBLACKLABEL",19,121,2,"158478"
20,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,13,84,"154404"
21,"spotify:track:4WUpMUjdoi47LY7gBQBXe3","Lim Young Woong","Grain of Sand","물고기뮤직",8,20,101,"147115"
22,"spotify:track:2PlsVMcOn6ujc2UEYs2Yat","Lim Young Woong","Home","Mulgogi Music",13,22,53,"140803"
23,"spotify:track:3vnaEaDxMKdBhqA1t0uAwl","Lim Young Woong","Warmth","Mulgogi Music",12,23,53,"140472"
24,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",4,21,78,"139674"
25,"spotify:track:6auT8cRBu3BgPRBrdVBY15","Lim Young Woong","London Boy","물고기뮤직",6,24,129,"139003"
26,"spotify:track:7GOIrZTegzVty8mhNhRuA0","BOYNEXTDOOR","IF I SAY, I LOVE YOU","KOZ Entertainment",6,26,18,"137321"
27,"spotify:track:45zLrK0668WQ5JFMyiYmCS","Jimin","Interlude : Showtime","BIGHIT MUSIC",10,28,42,"134937"
28,"spotify:track:21ewxM3YvcdTj7cC0XwznO","Lim Young Woong","Do or Die","Mulgogi Music",6,25,83,"134803"
29,"spotify:track:20QI1DhCFz7pN8rATkNguv","10CM","To Reach You","CAM",29,35,5,"130745"
30,"spotify:track:5APxbxUDWyUChpgjJ0YQzE","PLAVE","Dash","VLAST",25,27,14,"123316"
31,"spotify:track:1j15Ar0qGDzIR0v3CQv3JL","KATSEYE","Gnarly","HYBE/Geffen",31,-1,1,"123059"
32,"spotify:track:3be9ACTxtcL6Zm4vJRUiPG","yung kai","blue","BMG Rights Management (US) LLC",26,29,20,"121817"
33,"spotify:track:1k68vKHNQXU5CHqcM7Yp7N","DAY6","HAPPY","JYP Entertainment",5,37,39,"117846"
34,"spotify:track:1z5ebC9238uGoBgzYyvGpQ","ROSÉ","toxic till the end","Atlantic Records, THEBLACKLABEL",2,30,22,"115289"
35,"spotify:track:4EwNWRBWdZ6bgvxRHlZ8OO","G-DRAGON","CROOKED","YG Entertainment",24,33,28,"114260"
36,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records, THEBLACKLABEL",2,36,29,"113856"
37,"spotify:track:2JhbSmNAyM9kYiqwa8Tpla","aespa","Supernova","SM Entertainment",1,38,52,"112699"
38,"spotify:track:2tA3NP12r4niSRhb9Y6AoY","Lim Young Woong","Polaroid","물고기뮤직",10,34,129,"112649"
39,"spotify:track:6oNLSQX8bcAdbCElZYju3v","fromis_9","Supersonic","PLEDIS Entertainment",12,41,39,"112577"
40,"spotify:track:1aKvZDoLGkNMxoRYgkckZG","ILLIT","Magnetic","BELIFT LAB",1,44,59,"109310"
41,"spotify:track:2RLdkXSaiQjRbey5pvP8Kt","Lim Young Woong","If We Ever Meet Again","물고기뮤직",5,46,157,"104538"
42,"spotify:track:11lHFLhHJfEAJbUvPH6URk","HYUN SEO","DayDream","ONGRAY",42,56,5,"103549"
43,"spotify:track:5doooVlMVRZztQbySqARMI","G-DRAGON, TAEYANG, DAESUNG","HOME SWEET HOME (feat. TAEYANG & DAESUNG)","Galaxy Corporation Co., Ltd.",2,43,24,"102335"
44,"spotify:track:7wLJ4xzxNss5abZ1kXs242","Car, the garden","Closely Far Away","니즈뮤직",38,39,34,"101165"
45,"spotify:track:5qu4qjrmG0YvwPNvhfXqqt","PLAVE","Chroma Drift","VLAST",41,42,14,"101085"
46,"spotify:track:1Y3Z8ZgjFse47Nt2ZR4EFU","NCT WISH","poppop","SM Entertainment",24,31,4,"100829"
47,"spotify:track:0dS2u2UFd88TIzDDaZDLvS","d4vd","Here With Me","Darkroom/Interscope Records",35,49,121,"100561"
48,"spotify:track:0GOqhXyouUxqPEw9ypTOLm","G-DRAGON, Anderson .Paak","TOO BAD (feat. Anderson .Paak)","Galaxy Corporation Co., Ltd.",2,45,11,"99328"
49,"spotify:track:2ZucVHbSVMb3MnDLMn7APE","PLAVE","RIZZ","VLAST",46,48,14,"98662"
50,"spotify:track:5FxasBmho2yEvgXrzp9MMW","G-DRAGON","무제(無題) (Untitled, 2014)","YG Entertainment",22,47,30,"98577"
51,"spotify:track:1tI8Ubt5VEMWDoGL08pomF","LE SSERAFIM","Come Over","SOURCE MUSIC",29,32,8,"97001"
52,"spotify:track:3cnCdBXTlyBCKYrlHpXbIP","PLAVE","Island","VLAST",52,52,13,"93914"
53,"spotify:track:7JQH2lBMZ10ztDnpoeq6Ki","데이먼스 이어 Damons year","yours","WM Korea",40,40,136,"93229"
54,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",20,53,51,"92719"
